,x,y,z,n,r,p,r,n+p
304,80.5,2.083,-37.5,0.0428653,0.0753778,0.268228,0.0756314,0.3110933
304,80.5,2.083,-32.5,0.0421747,0.0783658,0.297028,0.0885996,0.3392027
304,80.5,2.083,-27.5,0.047644,0.0767132,0.262171,0.072494,0.309815
304,80.5,2.083,-22.5,0.0458035,0.075842,0.265308,0.0772511,0.3111115
304,80.5,2.083,-17.5,0.0507409,0.0775068,0.329618,0.0752336,0.3803589
304,80.5,2.083,-12.5,0.0438651,0.0693651,0.346802,0.072589,0.3906671
304,80.5,2.083,-7.5,0.0442874,0.0685543,0.299118,0.0737817,0.3434054
304,80.5,2.083,-2.5,0.0524391,0.0730761,0.293048,0.0697065,0.3454871
304,80.5,2.083,2.5,0.0497153,0.0675992,0.325597,0.0752111,0.3753123
304,80.5,2.083,7.5,0.050448,0.0694773,0.278184,0.0728814,0.328632
304,80.5,2.083,12.5,0.043961,0.0682307,0.284209,0.0717169,0.32817
304,80.5,2.083,17.5,0.0482351,0.0683982,0.285677,0.0665906,0.3339121
304,80.5,2.083,22.5,0.0482494,0.073035,0.278141,0.0737399,0.3263904
304,80.5,2.083,27.5,0.0404213,0.0708964,0.285767,0.08089,0.3261883
304,80.5,2.083,32.5,0.0443053,0.0751862,0.298736,0.0746354,0.3430413
304,80.5,2.083,37.5,0.0362314,0.0782581,0.217347,0.078686,0.2535784
304,80.5,2.083,42.5,0.0374386,0.0733572,0.224922,0.0811436,0.2623606
304,80.5,2.083,47.5,0.037959,0.0727584,0.252484,0.0799059,0.290443
304,80.5,6.25,-47.5,0.0352758,0.0657207,0.268354,0.0726617,0.3036298
304,80.5,6.25,-42.5,0.0344697,0.0652679,0.248515,0.0734478,0.2829847
304,80.5,6.25,-37.5,0.0381397,0.0615299,0.281805,0.0713456,0.3199447
304,80.5,6.25,-32.5,0.044829,0.0711265,0.253775,0.0692105,0.298604
304,80.5,6.25,-27.5,0.0467329,0.0666886,0.323656,0.0700569,0.3703889
304,80.5,6.25,-22.5,0.0506688,0.0617901,0.307476,0.06361,0.3581448
304,80.5,6.25,-17.5,0.0512332,0.0652118,0.306945,0.0658347,0.3581782
304,80.5,6.25,-12.5,0.0459783,0.0656393,0.308032,0.0646003,0.3540103
304,80.5,6.25,-7.5,0.0515279,0.0667721,0.333051,0.0631269,0.3845789
304,80.5,6.25,-2.5,0.0528442,0.0609281,0.325281,0.0679095,0.3781252
304,80.5,6.25,2.5,0.0569395,0.0626408,0.300905,0.0659925,0.3578445
304,80.5,6.25,7.5,0.0528296,0.0592429,0.296984,0.0661763,0.3498136
304,80.5,6.25,12.5,0.0589787,0.0614997,0.309893,0.06862,0.3688717
304,80.5,6.25,17.5,0.0492244,0.0628588,0.314893,0.0641776,0.3641174
304,80.5,6.25,22.5,0.0493819,0.0686571,0.321214,0.0638844,0.3705959
304,80.5,6.25,27.5,0.0476764,0.0682984,0.318207,0.0641615,0.3658834
304,80.5,6.25,32.5,0.0399604,0.0640146,0.284422,0.0720481,0.3243824
304,80.5,6.25,37.5,0.0405862,0.0649379,0.259901,0.0775455,0.3004872
304,80.5,6.25,42.5,0.0408456,0.0689124,0.245692,0.0742017,0.2865376
304,80.5,6.25,47.5,0.036604,0.0681897,0.270874,0.0728746,0.307478
304,80.5,10.417,-47.5,0.0442616,0.066589,0.237269,0.0708055,0.2815306
304,80.5,10.417,-42.5,0.0374461,0.0691001,0.238616,0.0796949,0.2760621
304,80.5,10.417,-37.5,0.0454144,0.0673913,0.287045,0.0728135,0.3324594
304,80.5,10.417,-32.5,0.0430627,0.0645698,0.293821,0.0690536,0.3368837
304,80.5,10.417,-27.5,0.0451321,0.0695025,0.29751,0.074266,0.3426421
304,80.5,10.417,-22.5,0.0525217,0.0625065,0.320637,0.0682217,0.3731587
304,80.5,10.417,-17.5,0.0551852,0.0642125,0.299536,0.0661145,0.3547212
304,80.5,10.417,-12.5,0.0595414,0.0626916,0.325292,0.0632868,0.3848334
304,80.5,10.417,-7.5,0.0628903,0.0639837,0.349805,0.0631225,0.4126953
304,80.5,10.417,-2.5,0.0546548,0.0605424,0.33322,0.0665788,0.3878748
304,80.5,10.417,2.5,0.0610453,0.0641571,0.352826,0.0676299,0.4138713
304,80.5,10.417,7.5,0.0626345,0.0646327,0.336326,0.0650064,0.3989605
304,80.5,10.417,12.5,0.0519626,0.0642946,0.295964,0.0638232,0.3479266
304,80.5,10.417,17.5,0.050533,0.0644887,0.296361,0.0715868,0.346894
304,80.5,10.417,22.5,0.0538687,0.0671607,0.304833,0.069415,0.3587017
304,80.5,10.417,27.5,0.0499135,0.0677763,0.297448,0.0670254,0.3473615
304,80.5,10.417,32.5,0.045371,0.0652108,0.29564,0.0679589,0.341011
304,80.5,10.417,37.5,0.0465473,0.0680431,0.263655,0.0683262,0.3102023
304,80.5,10.417,42.5,0.0430241,0.0701677,0.292796,0.0751987,0.3358201
304,80.5,10.417,47.5,0.0425303,0.0711412,0.25978,0.0745677,0.3023103
304,85.786,2.083,-47.5,0.0659171,0.0659795,0.320068,0.0686609,0.3859851
304,85.786,2.083,-42.5,0.0748726,0.0612423,0.39291,0.0685596,0.4677826
304,85.786,2.083,-37.5,0.0712104,0.0608974,0.347165,0.0631796,0.4183754
304,85.786,2.083,-32.5,0.0816432,0.060157,0.382651,0.0626548,0.4642942
304,85.786,2.083,-27.5,0.0903184,0.0585481,0.412123,0.0617438,0.5024414
304,85.786,2.083,-22.5,0.0955301,0.0576825,0.388264,0.0578327,0.4837941
304,85.786,2.083,-17.5,0.0964701,0.0582639,0.423414,0.0602951,0.5198841
304,85.786,2.083,-12.5,0.0913223,0.0580337,0.40253,0.058315,0.4938523
304,85.786,2.083,-7.5,0.0877183,0.0562313,0.450808,0.0579287,0.5385263
304,85.786,2.083,-2.5,0.0972906,0.0554101,0.472731,0.0582834,0.5700216
304,85.786,2.083,2.5,0.0944965,0.0560786,0.439515,0.0534893,0.5340115
304,85.786,2.083,7.5,0.0948382,0.0569931,0.42787,0.0603624,0.5227082
304,85.786,2.083,12.5,0.0949479,0.0569486,0.448646,0.058491,0.5435939
304,85.786,2.083,17.5,0.093278,0.0565287,0.469767,0.0555364,0.563045
304,85.786,2.083,22.5,0.0834402,0.0591109,0.437136,0.0601406,0.5205762
304,85.786,2.083,27.5,0.0901858,0.0587255,0.405456,0.0628356,0.4956418
304,85.786,2.083,32.5,0.085484,0.0612911,0.421429,0.0636935,0.506913
304,85.786,2.083,37.5,0.0729901,0.0638711,0.345978,0.0675622,0.4189681
304,85.786,2.083,42.5,0.0643208,0.0639124,0.349393,0.0654912,0.4137138
304,85.786,2.083,47.5,0.0706084,0.0634079,0.37453,0.0661123,0.4451384
304,85.786,6.25,-47.5,0.0714502,0.0573673,0.33555,0.0600332,0.4070002
304,85.786,6.25,-42.5,0.0699696,0.0543629,0.377754,0.0615824,0.4477236
304,85.786,6.25,-37.5,0.0783392,0.0568119,0.398177,0.0560483,0.4765162
304,85.786,6.25,-32.5,0.0820408,0.0551066,0.422429,0.0546008,0.5044698
304,85.786,6.25,-27.5,0.09201,0.0542022,0.449647,0.0521774,0.541657
304,85.786,6.25,-22.5,0.101423,0.0513276,0.425096,0.0506973,0.526519
304,85.786,6.25,-17.5,0.0901177,0.0521474,0.462782,0.0526968,0.5528997
304,85.786,6.25,-12.5,0.100074,0.0536209,0.453437,0.0517654,0.553511
304,85.786,6.25,-7.5,0.10117,0.0497437,0.478783,0.0502368,0.579953
304,85.786,6.25,-2.5,0.111489,0.0505624,0.493586,0.0484793,0.605075
304,85.786,6.25,2.5,0.114584,0.0493457,0.422806,0.0543761,0.53739
304,85.786,6.25,7.5,0.112618,0.0493838,0.457046,0.0511687,0.569664
304,85.786,6.25,12.5,0.105531,0.0505733,0.484451,0.0532668,0.589982
304,85.786,6.25,17.5,0.10063,0.051816,0.462392,0.0507982,0.563022
304,85.786,6.25,22.5,0.0967768,0.0536187,0.440216,0.0522498,0.5369928
304,85.786,6.25,27.5,0.0936509,0.054131,0.413201,0.0550206,0.5068519
304,85.786,6.25,32.5,0.0809867,0.0534869,0.435144,0.0562397,0.5161307
304,85.786,6.25,37.5,0.0822596,0.056456,0.411974,0.0603363,0.4942336
